season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2019,Ivory Coast,5,3,1,1,2,4,7,3,4,10,64,150,2,21,44,52,29,1.4,0.6
2019,Ghana,4,1,3,0,1.5,10,5,3,2,8,72,120,2,24,51,66,22,1.25,0.75
2019,Nigeria,7,5,0,2,2.14,2,9,7,2,16,70,90,3,38,52,89,36,1.29,1
2019,Cameroon,4,1,2,1,1.25,12,4,3,1,7,90,120,3,27,60,47,15,1,0.75
2019,Algeria,7,6,1,0,2.71,1,13,2,11,15,48,310,5,23,51,77,35,1.86,0.29
2019,Senegal,7,5,0,2,2.14,3,8,2,6,10,79,310,5,38,59,97,40,1.14,0.29
2019,Kenya,3,1,0,2,1,17,3,7,-4,10,90,39,0,16,43,27,13,1,2.33
2019,South Africa,5,2,0,3,1.2,11,3,4,-1,7,150,113,2,13,48,44,19,0.6,0.8
2019,Guinea,4,1,1,2,1,13,4,6,-2,10,90,60,1,15,72,43,12,1,1.5
2019,Uganda,4,1,1,2,1,14,3,4,-1,7,120,90,1,28,46,44,19,0.75,1
2019,Angola,3,0,2,1,0.67,18,1,2,-1,3,273,134,1,13,79,26,8,0.33,0.67
2019,Tanzania,3,0,0,3,0,22,2,8,-6,10,134,34,0,8,42,21,8,0.67,2.67
2019,Morocco,4,3,1,0,2.5,5,4,1,3,5,90,360,3,17,59,63,23,1,0.25
2019,Egypt,4,3,0,1,2.25,6,5,1,4,6,72,360,3,22,54,55,25,1.25,0.25
2019,Tunisia,7,1,4,2,1,8,6,5,1,11,105,127,2,31,52,93,34,0.86,0.71
2019,Mauritania,3,0,2,1,0.67,19,1,4,-3,5,273,68,2,16,64,16,6,0.33,1.33
2019,Namibia,3,0,0,3,0,23,1,6,-5,7,273,45,0,7,47,21,7,0.33,2
2019,Mali,4,2,1,1,1.75,9,6,3,3,9,60,120,1,25,53,62,25,1.5,0.75
2019,Madagascar,5,2,2,1,1.6,7,7,7,0,14,64,64,2,19,42,47,23,1.4,1.4
2019,Zimbabwe,3,0,1,2,0.33,20,1,6,-5,7,273,45,0,14,52,36,11,0.33,2
2019,Congo DR,4,1,1,2,1,15,6,6,0,12,60,60,1,30,55,63,22,1.5,1.5
2019,Benin,5,0,4,1,0.8,16,3,4,-1,7,150,113,2,20,44,59,17,0.6,0.8
2019,Guinea-Bissau,3,0,1,2,0.33,21,0,4,-4,4,0,68,1,9,43,30,5,0,1.33
2019,Burundi,3,0,0,3,0,24,0,4,-4,4,0,68,0,16,65,22,10,0,1.33
