season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2025,Saudi Arabia,4,1,1,2,1,8,2,4,-2,6,180,90,1,8,46,25,9,0.5,1
2025,USA,6,4,1,1,2.17,2,13,6,7,19,41,90,2,31,59,81,35,2.17,1
2025,Honduras,5,2,1,2,1.4,6,5,9,-4,14,90,50,1,18,41,40,13,1,1.8
2025,Mexico,6,5,1,0,2.67,1,10,3,7,13,54,180,4,34,61,84,36,1.67,0.5
2025,Costa Rica,4,2,2,0,2,4,8,6,2,14,45,60,1,19,43,45,18,2,1.5
2025,Jamaica,3,1,0,2,1,9,3,6,-3,9,90,45,0,10,46,37,11,1,2
2025,Trinidad and Tobago,3,0,2,1,0.67,11,2,7,-5,9,134,39,0,11,39,18,7,0.67,2.33
2025,Panama,4,3,1,0,2.5,3,11,4,7,15,33,90,1,28,66,66,26,2.75,1
2025,Guatemala,5,2,1,2,1.4,7,5,5,0,10,90,90,2,16,44,45,15,1,1
2025,Suriname,3,0,1,2,0.33,15,3,6,-3,9,90,45,1,13,52,29,13,1,2
2025,Guadeloupe,3,0,0,3,0,16,5,10,-5,15,54,27,0,16,48,39,14,1.67,3.33
2025,Canada,4,2,2,0,2,5,9,1,8,10,40,360,3,18,63,39,15,2.25,0.25
2025,Haiti,3,0,1,2,0.33,12,2,4,-2,6,134,68,0,20,46,38,11,0.67,1.33
2025,Curaçao,3,0,2,1,0.67,10,2,3,-1,5,134,90,1,10,54,22,8,0.67,1
2025,Dominican Republic,3,0,1,2,0.33,13,3,5,-2,8,90,54,1,15,40,44,13,1,1.67
2025,El Salvador,3,0,1,2,0.33,14,0,4,-4,4,0,68,1,10,40,15,2,0,1.33
