season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Honduras,6,3,2,1,1.83,4,4,1,3,5,134,529,5,27,50,71,25,0.67,0.17
2022,Honduras,8,4,3,1,1.88,3,13,8,5,21,55,90,3,47,56,100,44,1.63,1
2022,Guatemala,2,0,1,1,0.5,17,1,4,-3,5,180,45,0,6,55,20,8,0.5,2
2022,Guatemala,4,2,1,1,1.75,5,11,3,8,14,33,120,2,26,58,71,27,2.75,0.75
2022,Guatemala,2,0,1,1,0.5,16,1,2,-1,3,180,90,0,13,61,22,6,0.5,1
2022,Dominican Republic,2,0,0,2,0,21,0,3,-3,3,0,60,0,12,50,18,4,0,1.5
2022,Dominican Republic,2,0,0,2,0,20,0,9,-9,9,0,20,0,6,44,7,4,0,4.5
2022,Canada,4,2,1,1,1.75,6,7,1,6,8,51,360,3,18,50,29,20,1.75,0.25
2022,Jamaica,2,0,1,1,0.5,14,0,6,-6,6,0,30,1,7,50,10,4,0,3
2022,Panama,4,1,2,1,1.25,9,5,3,2,8,72,120,1,17,49,41,24,1.25,0.75
2022,Belize,4,0,2,2,0.5,12,3,9,-6,12,120,40,1,14,43,15,9,0.75,2.25
2022,Nicaragua,2,0,1,1,0.5,18,1,3,-2,4,180,60,1,2,36,19,9,0.5,1.5
2022,Nicaragua,4,1,1,2,1,10,3,8,-5,11,120,45,1,18,45,49,20,0.75,2
2022,El Salvador,2,0,2,0,1,13,2,2,0,4,90,90,1,18,57,36,18,1,1
2022,Costa Rica,10,5,4,1,1.9,1,22,9,13,31,41,100,5,40,49,119,59,2.2,0.9
2022,El Salvador,2,0,1,1,0.5,19,1,4,-3,5,180,45,0,7,49,8,4,0.5,2
2022,Panama,2,0,1,1,0.5,15,1,6,-5,7,180,30,0,1,48,21,9,0.5,3
2022,Costa Rica,4,1,1,2,1,11,3,5,-2,8,120,72,1,17,51,36,16,0.75,1.25
2022,El Salvador,4,2,0,2,1.5,7,7,4,3,11,51,90,1,26,54,53,23,1.75,1
2022,Panama,4,1,2,1,1.25,8,2,2,0,4,180,180,2,23,48,37,20,0.5,0.5
2022,Costa Rica,2,0,0,2,0,22,0,4,-4,4,0,45,0,14,50,26,8,0,2
2022,Honduras,8,5,3,0,2.25,2,16,7,9,23,45,102,4,36,47,98,39,2,0.88
