season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2024,Argentina,6,5,1,0,2.67,1,9,1,8,10,60,529,5,32,57,67,35,1.5,0.17
2024,Uruguay,6,3,2,1,1.83,3,11,4,7,15,49,134,3,32,53,65,29,1.83,0.67
2024,Ecuador,4,1,2,1,1.25,8,5,4,1,9,72,90,1,17,42,32,12,1.25,1
2024,Brazil,4,1,3,0,1.5,5,5,2,3,7,72,180,2,23,60,38,15,1.25,0.5
2024,USA,3,1,0,2,1,11,3,3,0,6,90,90,1,9,46,25,14,1,1
2024,Mexico,3,1,1,1,1.33,9,1,1,0,2,273,273,2,19,61,36,17,0.33,0.33
2024,Chile,3,0,2,1,0.67,12,0,1,-1,1,0,273,2,7,49,16,8,0,0.33
2024,Colombia,6,4,1,1,2.17,2,12,3,9,15,45,180,3,26,55,60,27,2,0.5
2024,Costa Rica,3,1,1,1,1.33,10,2,4,-2,6,134,68,1,4,32,6,2,0.67,1.33
2024,Canada,6,1,3,2,1,6,4,7,-3,11,134,77,2,25,48,51,22,0.67,1.17
2024,Jamaica,3,0,0,3,0,14,1,7,-6,8,273,39,0,20,47,21,9,0.33,2.33
2024,Bolivia,3,0,0,3,0,15,1,10,-9,11,273,27,0,6,44,14,8,0.33,3.33
2024,Peru,3,0,1,2,0.33,13,0,3,-3,3,0,90,1,6,36,17,9,0,1
2024,Paraguay,3,0,0,3,0,16,3,8,-5,11,90,34,0,13,48,35,15,1,2.67
2024,Panama,4,2,0,2,1.5,7,6,10,-4,16,60,36,0,9,54,37,16,1.5,2.5
2024,Venezuela,4,3,1,0,2.5,4,7,2,5,9,51,180,2,23,53,39,13,1.75,0.5
