season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2010,Switzerland,3,1,1,1,1.33,14,1,1,0,2,273,273,2,8,42,20,7,0.33,0.33
2010,Serbia,3,1,0,2,1,22,2,3,-1,5,134,90,1,11,51,39,14,0.67,1
2010,Spain,7,6,0,1,2.57,1,8,2,6,10,79,310,5,56,61,109,49,1.14,0.29
2010,Portugal,4,1,2,1,1.25,11,7,1,6,8,51,360,3,16,44,54,25,1.75,0.25
2010,Slovenia,3,1,1,1,1.33,21,3,3,0,6,90,90,1,7,49,26,17,1,1
2010,Germany,7,5,0,2,2.14,3,16,5,11,21,39,127,3,44,52,96,49,2.29,0.71
2010,England,4,1,2,1,1.25,12,3,5,-2,8,120,72,2,34,53,59,34,0.75,1.25
2010,Greece,3,1,0,2,1,24,2,5,-3,7,134,54,0,23,46,37,19,0.67,1.67
2010,Italy,3,0,2,1,0.67,26,4,5,-1,9,68,54,0,26,57,40,20,1.33,1.67
2010,Netherlands,7,6,0,1,2.57,2,12,6,6,18,53,105,2,31,54,85,53,1.71,0.86
2010,Slovakia,4,1,1,2,1,20,5,7,-2,12,72,51,0,21,47,38,15,1.25,1.75
2010,France,3,0,1,2,0.33,28,1,4,-3,5,273,68,1,14,51,35,15,0.33,1.33
2010,Denmark,3,1,0,2,1,23,3,6,-3,9,90,45,0,11,46,32,18,1,2
2010,Japan,4,2,1,1,1.75,8,4,2,2,6,90,180,2,12,42,42,25,1,0.5
2010,Australia,3,1,1,1,1.33,19,3,6,-3,9,90,45,0,13,45,29,16,1,2
2010,North Korea,3,0,0,3,0,31,1,12,-11,13,273,23,0,4,40,30,13,0.33,4
2010,South Korea,4,1,1,2,1,17,6,8,-2,14,60,45,1,18,51,54,26,1.5,2
2010,Ivory Coast,3,1,1,1,1.33,18,4,3,1,7,68,90,2,16,51,40,23,1.33,1
2010,Argentina,5,4,0,1,2.4,4,10,6,4,16,45,75,2,33,58,84,47,2,1.2
2010,Uruguay,7,3,2,2,1.57,5,11,8,3,19,57,79,3,36,45,95,50,1.57,1.14
2010,Ghana,5,2,2,1,1.6,7,5,4,1,9,90,113,1,26,49,79,32,1,0.8
2010,Brazil,5,3,1,1,2,6,9,4,5,13,50,113,2,34,56,79,35,1.8,0.8
2010,Nigeria,3,0,1,2,0.33,27,3,5,-2,8,90,54,0,8,44,32,12,1,1.67
2010,USA,4,1,2,1,1.25,13,5,5,0,10,72,72,1,17,48,63,30,1.25,1.25
2010,Honduras,3,0,1,2,0.33,29,0,3,-3,3,0,90,1,6,42,11,3,0,1
2010,Cameroon,3,0,0,3,0,32,2,5,-3,7,134,54,0,16,56,37,17,0.67,1.67
2010,Mexico,4,1,1,2,1,16,4,5,-1,9,90,72,1,17,55,51,22,1,1.25
2010,Algeria,3,0,1,2,0.33,30,0,2,-2,2,0,134,1,13,49,34,10,0,0.67
2010,Chile,4,2,0,2,1.5,10,3,5,-2,8,120,72,2,20,51,54,22,0.75,1.25
2010,South Africa,3,1,1,1,1.33,15,3,5,-2,8,90,54,0,12,48,36,20,1,1.67
2010,Paraguay,5,1,3,1,1.2,9,3,2,1,5,150,225,3,14,51,54,25,0.6,0.4
2010,New Zealand,3,0,3,0,1,25,2,2,0,4,134,134,1,3,44,16,5,0.67,0.67
