season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2014,Switzerland,4,2,0,2,1.5,12,7,7,0,14,51,51,1,19,47,53,24,1.75,1.75
2014,Spain,3,1,0,2,1,23,4,7,-3,11,68,39,1,17,58,33,19,1.33,2.33
2014,Portugal,3,1,1,1,1.33,15,4,7,-3,11,68,39,0,17,51,45,19,1.33,2.33
2014,Germany,7,6,1,0,2.71,1,18,4,14,22,35,158,4,37,56,75,42,2.57,0.57
2014,England,3,0,1,2,0.33,27,2,4,-2,6,134,68,1,22,56,41,19,0.67,1.33
2014,Greece,4,1,2,1,1.25,13,3,5,-2,8,120,72,1,26,48,57,27,0.75,1.25
2014,Italy,3,1,0,2,1,20,2,3,-1,5,134,90,0,9,54,27,12,0.67,1
2014,Belgium,5,4,0,1,2.4,5,6,3,3,9,75,150,2,39,53,78,41,1.2,0.6
2014,Netherlands,7,5,2,0,2.43,2,15,4,11,19,42,158,4,31,50,60,37,2.14,0.57
2014,France,5,3,1,1,2,7,10,3,7,13,45,150,3,35,56,70,36,2,0.6
2014,Croatia,3,1,0,2,1,21,6,6,0,12,45,45,1,17,49,36,17,2,2
2014,Bosnia and Herzegovina,3,1,0,2,1,22,4,4,0,8,68,68,0,16,53,37,19,1.33,1.33
2014,Japan,3,0,1,2,0.33,29,2,6,-4,8,134,45,1,19,57,40,20,0.67,2
2014,Australia,3,0,0,3,0,30,3,9,-6,12,90,30,0,6,47,23,6,1,3
2014,Iran,3,0,1,2,0.33,28,1,4,-3,5,273,68,1,13,30,20,10,0.33,1.33
2014,South Korea,3,0,1,2,0.33,26,3,6,-3,9,90,45,0,18,51,34,17,1,2
2014,Ivory Coast,3,1,0,2,1,19,4,5,-1,9,68,54,0,20,55,41,18,1.33,1.67
2014,Argentina,7,5,1,1,2.29,3,8,4,4,12,79,158,4,47,54,88,39,1.14,0.57
2014,Russia,3,0,2,1,0.67,24,2,3,-1,5,134,90,0,16,53,33,15,0.67,1
2014,Uruguay,4,2,0,2,1.5,11,4,6,-2,10,90,60,1,20,47,45,22,1,1.5
2014,Ecuador,3,1,1,1,1.33,14,3,3,0,6,90,90,1,18,48,26,12,1,1
2014,Ghana,3,0,1,2,0.33,25,4,6,-2,10,68,45,0,14,49,50,19,1.33,2
2014,Brazil,7,3,2,2,1.57,6,11,14,-3,25,57,45,1,42,54,94,46,1.57,2
2014,Nigeria,4,1,1,2,1,18,3,5,-2,8,120,72,2,24,53,42,24,0.75,1.25
2014,USA,4,1,1,2,1,17,5,6,-1,11,72,60,0,15,43,38,21,1.25,1.5
2014,Honduras,3,0,0,3,0,31,1,8,-7,9,273,34,0,12,44,31,15,0.33,2.67
2014,Cameroon,3,0,0,3,0,32,1,9,-8,10,273,30,0,15,45,33,6,0.33,3
2014,Mexico,4,2,1,1,1.75,10,5,3,2,8,72,120,2,16,49,42,15,1.25,0.75
2014,Algeria,4,1,1,2,1,16,7,7,0,14,51,51,0,14,41,35,14,1.75,1.75
2014,Chile,4,2,1,1,1.75,9,6,4,2,10,60,90,1,16,51,34,15,1.5,1
2014,Colombia,5,4,0,1,2.4,4,12,4,8,16,38,113,2,20,46,51,30,2.4,0.8
2014,Costa Rica,5,2,3,0,1.8,8,5,2,3,7,90,225,3,18,41,36,15,1,0.4
