season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2014,Switzerland,,,,,,,,,,,,,,,,,,,
2014,Spain,,,,,,,,,,,,,,,,,,,
2014,Portugal,,,,,,,,,,,,,,,,,,,
2014,Germany,,,,,,,,,,,,,,,,,,,
2014,England,,,,,,,,,,,,,,,,,,,
2014,Greece,,,,,,,,,,,,,,,,,,,
2014,Italy,,,,,,,,,,,,,,,,,,,
2014,Belgium,,,,,,,,,,,,,,,,,,,
2014,Netherlands,,,,,,,,,,,,,,,,,,,
2014,France,,,,,,,,,,,,,,,,,,,
2014,Croatia,,,,,,,,,,,,,,,,,,,
2014,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,
2014,Japan,,,,,,,,,,,,,,,,,,,
2014,Australia,,,,,,,,,,,,,,,,,,,
2014,Iran,,,,,,,,,,,,,,,,,,,
2014,South Korea,,,,,,,,,,,,,,,,,,,
2014,Ivory Coast,,,,,,,,,,,,,,,,,,,
2014,Argentina,,,,,,,,,,,,,,,,,,,
2014,Russia,,,,,,,,,,,,,,,,,,,
2014,Uruguay,,,,,,,,,,,,,,,,,,,
2014,Ecuador,,,,,,,,,,,,,,,,,,,
2014,Ghana,,,,,,,,,,,,,,,,,,,
2014,Brazil,,,,,,,,,,,,,,,,,,,
2014,Nigeria,,,,,,,,,,,,,,,,,,,
2014,USA,,,,,,,,,,,,,,,,,,,
2014,Honduras,,,,,,,,,,,,,,,,,,,
2014,Cameroon,,,,,,,,,,,,,,,,,,,
2014,Mexico,,,,,,,,,,,,,,,,,,,
2014,Algeria,,,,,,,,,,,,,,,,,,,
2014,Chile,,,,,,,,,,,,,,,,,,,
2014,Colombia,,,,,,,,,,,,,,,,,,,
2014,Costa Rica,,,,,,,,,,,,,,,,,,,
