season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2018,Iceland,3,0,1,2,0.33,28,2,5,-3,7,134,54,0,17,33,32,14,0.67,1.67
2018,Switzerland,4,1,2,1,1.25,13,5,5,0,10,72,72,0,26,60,39,18,1.25,1.25
2018,Serbia,3,1,0,2,1,26,2,4,-2,6,134,68,1,12,42,30,11,0.67,1.33
2018,Spain,4,1,3,0,1.5,10,7,6,1,13,51,60,1,24,74,58,29,1.75,1.5
2018,Portugal,4,1,2,1,1.25,14,6,6,0,12,60,60,1,24,55,40,18,1.5,1.5
2018,Sweden,5,3,0,2,1.8,7,6,4,2,10,75,113,3,16,38,48,25,1.2,0.8
2018,Poland,3,1,0,2,1,25,2,5,-3,7,134,54,1,17,51,24,11,0.67,1.67
2018,Germany,3,1,0,2,1,23,2,4,-2,6,134,68,0,25,72,50,24,0.67,1.33
2018,England,7,3,1,3,1.43,5,12,8,4,20,53,79,1,39,54,78,36,1.71,1.14
2018,Belgium,7,6,0,1,2.57,2,16,6,10,22,39,105,3,39,53,86,47,2.29,0.86
2018,France,7,6,1,0,2.71,1,14,6,8,20,45,105,4,21,48,74,36,2,0.86
2018,Croatia,7,4,2,1,2,3,14,9,5,23,45,70,2,40,57,94,37,2,1.29
2018,Denmark,4,1,3,0,1.5,12,3,2,1,5,120,180,2,18,43,37,17,0.75,0.5
2018,Japan,4,1,1,2,1,17,6,7,-1,13,60,51,0,19,54,35,20,1.5,1.75
2018,Australia,3,0,1,2,0.33,30,2,5,-3,7,134,54,0,14,52,24,10,0.67,1.67
2018,Saudi Arabia,3,1,0,2,1,20,2,7,-5,9,134,39,0,13,60,30,12,0.67,2.33
2018,Iran,3,1,1,1,1.33,15,2,2,0,4,134,134,1,5,27,24,6,0.67,0.67
2018,South Korea,3,1,0,2,1,19,3,3,0,6,90,90,1,15,37,23,13,1,1
2018,Argentina,4,1,1,2,1,16,6,9,-3,15,60,40,0,24,66,38,22,1.5,2.25
2018,Russia,5,2,2,1,1.6,8,11,7,4,18,41,64,1,26,37,37,23,2.2,1.4
2018,Uruguay,5,4,0,1,2.4,4,7,3,4,10,64,150,3,18,47,52,26,1.4,0.6
2018,Brazil,5,3,1,1,2,6,8,3,5,11,56,150,3,41,58,81,45,1.6,0.6
2018,Nigeria,3,1,0,2,1,24,3,4,-1,7,90,68,1,14,47,30,12,1,1.33
2018,Mexico,4,2,0,2,1.5,11,3,6,-3,9,120,60,1,20,53,44,17,0.75,1.5
2018,Colombia,4,2,1,1,1.75,9,6,3,3,9,60,120,2,13,50,31,17,1.5,0.75
2018,Costa Rica,3,0,1,2,0.33,29,2,5,-3,7,134,54,0,11,40,24,11,0.67,1.67
2018,Senegal,3,1,1,1,1.33,18,4,4,0,8,68,68,0,9,41,28,15,1.33,1.33
2018,Peru,3,1,0,2,1,22,2,2,0,4,134,134,1,9,51,30,14,0.67,0.67
2018,Morocco,3,0,1,2,0.33,27,2,4,-2,6,134,68,0,13,49,30,13,0.67,1.33
2018,Egypt,3,0,0,3,0,31,2,6,-4,8,134,45,0,6,43,24,8,0.67,2
2018,Tunisia,3,1,0,2,1,21,5,8,-3,13,54,34,0,10,53,31,15,1.67,2.67
2018,Panama,3,0,0,3,0,32,2,11,-9,13,134,25,0,5,37,24,11,0.67,3.67
