season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2020,Finland,2,1,0,1,1.5,44,3,5,-2,8,60,36,1,13,37,13,9,1.5,2.5
2020,Iceland,2,2,0,0,3,20,2,0,2,2,90,0,2,3,50,9,4,1,0
2020,Gibraltar,2,0,0,2,0,115,0,5,-5,5,0,36,0,4,33,9,5,0,2.5
2020,Belarus,3,2,0,1,2,18,5,5,0,10,54,54,2,9,46,18,12,1.67,1.67
2020,Czech Republic,2,1,0,1,1.5,47,2,2,0,4,90,90,0,12,54,30,12,1,1
2020,Montenegro,2,0,2,0,1,60,1,1,0,2,180,180,1,13,62,20,8,0.5,0.5
2020,Switzerland,2,0,0,2,0,114,2,4,-2,6,90,45,0,6,50,19,11,1,2
2020,Serbia,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Andorra,2,0,0,2,0,112,1,9,-8,10,180,20,0,5,41,0,0,0.5,4.5
2020,Austria,2,2,0,0,3,14,5,1,4,6,36,180,1,21,57,31,13,2.5,0.5
2020,San Marino,2,0,0,2,0,111,0,7,-7,7,0,26,0,2,27,5,0,0,3.5
2020,Spain,2,0,2,0,1,59,1,1,0,2,180,180,1,10,58,29,12,0.5,0.5
2020,Luxembourg,2,0,0,2,0,110,1,5,-4,6,180,36,0,12,59,22,8,0.5,2.5
2020,Portugal,2,1,1,0,2,34,7,0,7,7,26,0,2,19,52,38,18,3.5,0
2020,Norway,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Romania,1,1,0,0,3,48,5,3,2,8,18,30,0,10,59,20,9,5,3
2020,Northern Ireland,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sweden,2,1,0,1,1.5,49,2,3,-1,5,90,60,0,5,41,13,6,1,1.5
2020,Ukraine,2,0,0,2,0,100,1,9,-8,10,180,20,0,6,50,24,14,0.5,4.5
2020,Moldova,2,0,1,1,0.5,80,0,6,-6,6,0,30,1,2,34,8,2,0,3
2020,Latvia,2,1,1,0,2,30,4,1,3,5,45,180,1,11,54,24,14,2,0.5
2020,Liechtenstein,2,1,0,1,1.5,50,2,4,-2,6,90,45,0,4,37,15,5,1,2
2020,Poland,2,2,0,0,3,7,7,1,6,8,26,180,1,6,47,27,17,3.5,0.5
2020,Slovenia,2,1,1,0,2,29,4,0,4,4,45,0,2,17,66,27,17,2,0
2020,Germany,2,1,1,0,2,27,4,3,1,7,45,60,1,6,58,30,17,2,1.5
2020,England,2,2,0,0,3,13,6,0,6,6,30,0,2,18,59,30,13,3,0
2020,Greece,2,1,0,1,1.5,52,3,3,0,6,60,60,0,10,50,26,12,1.5,1.5
2020,Armenia,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Cyprus,2,0,0,2,0,104,2,4,-2,6,90,45,0,9,39,15,5,1,2
2020,Israel,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Italy,2,2,0,0,3,11,10,0,10,10,18,0,2,16,67,34,19,5,0
2020,Albania,1,1,0,0,3,54,2,1,1,3,45,90,0,2,47,9,4,2,1
2020,Belgium,2,1,1,0,2,23,3,2,1,5,60,90,0,3,50,14,5,1.5,1
2020,Bulgaria,2,1,0,1,1.5,46,3,1,2,4,60,180,1,11,63,27,15,1.5,0.5
2020,Estonia,2,0,0,2,0,101,1,7,-6,8,180,26,0,8,40,19,6,0.5,3.5
2020,Azerbaijan,1,0,1,0,1,76,0,0,0,0,0,0,1,1,42,2,0,0,0
2020,Wales,2,0,1,1,0.5,79,0,3,-3,3,0,60,1,6,40,13,6,0,1.5
2020,Netherlands,2,0,1,1,0.5,75,1,2,-1,3,180,90,0,6,50,14,9,0.5,1
2020,Slovakia,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,France,2,1,0,1,1.5,45,7,3,4,10,26,60,0,17,66,39,13,3.5,1.5
2020,Croatia,2,1,1,0,2,26,5,4,1,9,36,45,0,5,55,19,9,2.5,2
2020,Malta,2,2,0,0,3,8,5,0,5,5,36,0,2,9,57,14,10,2.5,0
2020,Denmark,2,2,0,0,3,19,6,0,6,6,30,0,2,20,64,38,16,3,0
2020,Turkey,2,0,2,0,1,58,6,6,0,12,30,30,0,2,43,22,13,3,3
2020,Lithuania,2,2,0,0,3,17,5,2,3,7,36,90,0,3,53,23,11,2.5,1
2020,Faroe Islands,2,0,0,2,0,117,1,6,-5,7,180,30,0,8,41,14,7,0.5,3
2020,Kazakhstan,1,0,1,0,1,81,0,0,0,0,0,0,1,3,42,6,4,0,0
2020,Jordan,2,1,1,0,2,24,1,0,1,1,180,0,2,6,50,6,4,0.5,0
2020,India,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bahrain,3,3,0,0,3,4,7,2,5,9,39,134,1,6,51,13,6,2.33,0.67
2020,Tajikistan,3,0,0,3,0,134,3,6,-3,9,90,45,0,5,50,6,4,1,2
2020,Pakistan,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Oman,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mongolia,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Iraq,2,1,1,0,2,25,2,1,1,3,90,180,1,5,45,11,7,1,0.5
2020,Iran,2,2,0,0,3,6,4,1,3,5,45,180,1,5,44,14,10,2,0.5
2020,UAE,3,1,0,2,1,38,5,7,-2,12,54,39,0,11,50,31,14,1.67,2.33
2020,Vietnam,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Thailand,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Singapore,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Uzbekistan,6,2,0,4,1,9,6,8,-2,14,90,68,0,18,54,25,11,1,1.33
2020,Kyrgyzstan,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Myanmar,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Russia,2,0,1,1,0.5,70,1,2,-1,3,180,90,1,18,62,20,4,0.5,1
2020,USA,4,3,1,0,2.5,3,13,2,11,15,28,180,3,27,56,51,23,3.25,0.5
2020,Honduras,2,0,1,1,0.5,67,2,3,-1,5,90,60,0,20,52,28,8,1,1.5
2020,Mexico,5,4,1,0,2.6,1,11,4,7,15,41,113,3,18,52,53,23,2.2,0.8
2020,Colombia,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Costa Rica,4,0,1,3,0.25,63,1,4,-3,5,360,90,0,21,56,44,18,0.25,1
2020,Canada,3,2,0,1,2,15,8,3,5,11,34,90,0,0,0,0,0,2.67,1
2020,Jamaica,3,2,0,1,2,16,4,4,0,8,68,68,1,11,49,15,11,1.33,1.33
2020,Curaçao,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Barbados,2,0,0,2,0,120,2,8,-6,10,90,23,0,0,0,0,0,1,4
2020,Tahiti,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Trinidad and Tobago,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bermuda,1,0,0,1,0,97,0,2,-2,2,0,45,0,0,0,0,0,0,2
2020,Panama,4,2,0,2,1.5,10,4,7,-3,11,90,51,2,15,42,40,15,1,1.75
2020,New Zealand,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,New Caledonia,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Fiji,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sudan,3,1,1,1,1.33,21,2,4,-2,6,134,68,1,4,43,10,6,0.67,1.33
2020,Eritrea,1,0,0,1,0,95,0,1,-1,1,0,90,0,0,0,0,0,0,1
2020,Rwanda,1,0,1,0,1,68,0,0,0,0,0,0,1,5,53,5,3,0,0
2020,Congo,2,0,1,1,0.5,65,0,1,-1,1,0,180,1,6,47,5,2,0,0.5
2020,Solomon Islands,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Grenada,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,El Salvador,2,0,0,2,0,87,0,7,-7,7,0,26,0,7,50,20,7,0,3.5
2020,Suriname,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Cayman Islands,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Kuwait,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Palestine,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Cape Verde,2,1,0,1,1.5,56,3,3,0,6,60,60,0,3,50,3,3,1.5,1.5
