season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2024,Argentina,4,2,0,2,1.5,7,6,4,2,10,60,90,1,17,61,48,24,1.5,1
2024,Paraguay,4,2,1,1,1.75,6,6,8,-2,14,60,45,1,19,39,56,24,1.5,2
2024,Spain,6,5,0,1,2.5,1,16,8,8,24,34,68,1,28,60,85,45,2.67,1.33
2024,Morocco,6,4,0,2,2,3,17,5,12,22,32,108,3,36,55,66,36,2.83,0.83
2024,New Zealand,3,1,0,2,1,10,3,8,-5,11,90,34,0,9,44,23,13,1,2.67
2024,Egypt,6,2,2,2,1.33,5,5,11,-6,16,108,49,2,25,46,67,34,0.83,1.83
2024,Dominican Republic,3,0,2,1,0.67,12,2,4,-2,6,134,68,1,9,44,27,14,0.67,1.33
2024,USA,4,2,0,2,1.5,8,7,8,-1,15,51,45,1,17,45,42,24,1.75,2
2024,France,6,5,0,1,2.5,2,14,6,8,20,39,90,4,57,52,94,47,2.33,1
2024,Mali,3,0,1,2,0.33,14,1,3,-2,4,273,90,0,17,59,37,19,0.33,1
2024,Israel,3,0,1,2,0.33,15,3,6,-3,9,90,45,0,6,46,27,12,1,2
2024,Ukraine,3,1,0,2,1,11,3,5,-2,8,90,54,0,11,48,28,17,1,1.67
2024,Iraq,3,1,0,2,1,9,3,7,-4,10,90,39,0,7,32,16,12,1,2.33
2024,Japan,4,3,0,1,2.25,4,7,3,4,10,51,120,3,20,52,38,21,1.75,0.75
2024,Uzbekistan,3,0,1,2,0.33,13,2,4,-2,6,134,68,0,18,51,35,18,0.67,1.33
2024,Guinea,3,0,0,3,0,16,1,6,-5,7,273,45,0,18,55,35,20,0.33,2
