season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2016,Iceland,5,2,2,1,1.6,8,8,9,-1,17,56,50,0,14,34,37,19,1.6,1.8
2016,Czech Republic,3,0,1,2,0.33,19,2,5,-3,7,134,54,0,13,44,26,16,0.67,1.67
2016,Switzerland,4,1,3,0,1.5,10,3,2,1,5,120,180,2,29,56,52,26,0.75,0.5
2016,Austria,3,0,1,2,0.33,22,1,4,-3,5,273,68,1,11,53,33,14,0.33,1.33
2016,Spain,4,2,0,2,1.5,11,5,4,1,9,72,90,2,37,64,55,24,1.25,1
2016,Portugal,7,3,4,0,1.86,2,9,5,4,14,70,127,4,50,48,96,39,1.29,0.71
2016,Romania,3,0,1,2,0.33,21,2,4,-2,6,134,68,0,10,49,27,11,0.67,1.33
2016,Northern Ireland,4,1,0,3,0.75,17,2,3,-1,5,180,120,1,13,36,20,11,0.5,0.75
2016,Sweden,3,0,1,2,0.33,20,1,3,-2,4,273,90,0,13,19,22,9,0.33,1
2016,Ukraine,3,0,0,3,0,24,0,5,-5,5,0,54,0,17,55,33,16,0,1.67
2016,Poland,5,2,3,0,1.8,7,4,2,2,6,113,225,3,19,46,55,19,0.8,0.4
2016,Germany,6,3,2,1,1.83,4,7,3,4,10,77,180,4,41,55,83,37,1.17,0.5
2016,England,4,1,2,1,1.25,13,4,4,0,8,90,90,1,33,64,65,26,1,1
2016,Republic of Ireland,4,1,1,2,1,15,3,6,-3,9,120,60,1,14,34,36,16,0.75,1.5
2016,Hungary,4,1,2,1,1.25,12,6,8,-2,14,60,45,1,18,51,44,23,1.5,2
2016,Italy,5,3,1,1,2,5,6,2,4,8,75,225,3,27,40,37,21,1.2,0.4
2016,Albania,3,1,0,2,1,16,1,3,-2,4,273,90,1,15,39,27,14,0.33,1
2016,Belgium,5,3,0,2,1.8,6,9,5,4,14,50,90,3,41,43,74,32,1.8,1
2016,Wales,6,4,0,2,2,3,10,6,4,16,54,90,2,19,38,56,32,1.67,1
2016,Slovakia,4,1,1,2,1,14,3,6,-3,9,120,60,1,9,19,30,12,0.75,1.5
2016,France,7,5,1,1,2.29,1,13,5,8,18,48,127,3,48,53,91,44,1.86,0.71
2016,Croatia,4,2,1,1,1.75,9,5,4,1,9,72,90,1,25,36,53,15,1.25,1
2016,Turkey,3,1,0,2,1,18,2,4,-2,6,134,68,1,9,44,24,3,0.67,1.33
2016,Russia,3,0,1,2,0.33,23,2,6,-4,8,134,45,0,14,54,29,10,0.67,2
