season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2024,Finland,11,6,0,5,1.64,14,19,14,5,33,52,71,5,46,56,95,51,1.73,1.27
2024,Iceland,12,4,1,7,1.08,29,22,19,3,41,49,57,3,54,50,118,70,1.83,1.58
2024,Gibraltar,8,0,0,8,0,50,0,41,-41,41,0,18,0,5,23,12,4,0,5.13
2024,Belarus,10,3,3,4,1.2,30,9,14,-5,23,100,64,4,32,42,87,41,0.9,1.4
2024,Czech Republic,8,4,3,1,1.88,23,12,6,6,18,60,120,4,41,55,110,50,1.5,0.75
2024,Montenegro,8,3,2,3,1.38,34,9,11,-2,20,80,65,3,34,42,88,49,1.13,1.38
2024,Switzerland,10,4,5,1,1.7,19,22,11,11,33,41,82,3,59,72,145,71,2.2,1.1
2024,Serbia,8,4,2,2,1.75,27,15,9,6,24,48,80,2,47,60,99,45,1.88,1.13
2024,Andorra,10,0,2,8,0.2,46,3,20,-17,23,300,45,1,13,23,43,24,0.3,2
2024,Austria,8,6,1,1,2.38,11,17,7,10,24,42,102,3,42,56,119,63,2.13,0.88
2024,San Marino,10,0,0,10,0,53,3,31,-28,34,300,29,0,11,25,35,16,0.3,3.1
2024,FYR Macedonia,8,2,2,4,1,40,10,20,-10,30,72,36,1,25,41,57,34,1.25,2.5
2024,Georgia,10,3,3,4,1.2,31,14,18,-4,32,64,50,3,21,42,90,41,1.4,1.8
2024,Spain,8,7,0,1,2.63,7,25,5,20,30,29,143,4,55,72,118,63,3.13,0.63
2024,Luxembourg,11,5,2,4,1.55,20,13,21,-8,34,76,47,4,36,47,94,50,1.18,1.91
2024,Portugal,10,10,0,0,3,1,36,2,34,38,25,450,9,72,68,161,93,3.6,0.2
2024,Norway,8,3,2,3,1.38,33,14,12,2,26,51,60,1,38,56,88,48,1.75,1.5
2024,Romania,10,6,4,0,2.2,6,16,5,11,21,56,180,6,50,52,119,60,1.6,0.5
2024,Northern Ireland,10,3,0,7,0.9,38,9,13,-4,22,100,69,3,46,50,88,46,0.9,1.3
2024,Sweden,8,3,1,4,1.25,35,14,12,2,26,51,60,3,47,52,89,51,1.75,1.5
2024,Ukraine,10,6,2,2,2,10,15,10,5,25,60,90,3,42,50,98,51,1.5,1
2024,Moldova,8,2,4,2,1.25,36,7,10,-3,17,102,72,2,29,39,57,31,0.88,1.25
2024,Latvia,8,1,0,7,0.38,45,5,19,-14,24,143,38,1,22,33,61,34,0.63,2.38
2024,Liechtenstein,10,0,0,10,0,52,1,28,-27,29,900,32,0,15,25,44,24,0.1,2.8
2024,Poland,10,4,3,3,1.5,24,15,11,4,26,60,82,4,68,66,118,58,1.5,1.1
2024,Slovenia,10,7,1,2,2.2,5,20,9,11,29,45,100,4,38,55,104,55,2,0.9
2024,England,8,6,2,0,2.5,8,22,4,18,26,33,180,4,36,63,88,54,2.75,0.5
2024,Republic of Ireland,8,2,0,6,0.75,42,9,10,-1,19,80,72,2,56,55,88,47,1.13,1.25
2024,Greece,10,5,2,3,1.7,16,19,8,11,27,47,113,5,68,53,109,59,1.9,0.8
2024,Armenia,8,2,2,4,1,39,9,11,-2,20,80,65,0,33,46,75,35,1.13,1.38
2024,Hungary,8,5,3,0,2.25,13,16,7,9,23,45,102,3,42,58,99,54,2,0.88
2024,Cyprus,8,0,0,8,0,51,3,28,-25,31,237,26,0,15,34,49,29,0.38,3.5
2024,Israel,11,4,3,4,1.36,26,12,15,-3,27,83,66,2,59,62,132,62,1.09,1.36
2024,Italy,8,4,2,2,1.75,28,16,9,7,25,45,80,3,54,63,97,44,2,1.13
2024,Albania,8,4,3,1,1.88,25,12,4,8,16,60,180,4,21,50,72,39,1.5,0.5
2024,Belgium,8,6,2,0,2.5,9,22,4,18,26,33,180,5,61,59,95,52,2.75,0.5
2024,Bulgaria,8,0,4,4,0.5,44,7,14,-7,21,102,51,0,39,48,73,39,0.88,1.75
2024,Kosovo,10,2,5,3,1.1,32,10,10,0,20,90,90,3,38,49,102,58,1,1
2024,Estonia,9,0,1,8,0.11,48,3,27,-24,30,273,30,0,21,33,57,21,0.33,3
2024,Azerbaijan,8,2,1,5,0.88,41,7,17,-10,24,102,42,2,27,47,49,24,0.88,2.13
2024,Wales,10,4,4,2,1.6,21,14,11,3,25,64,82,3,37,44,110,58,1.4,1.1
2024,Netherlands,8,6,0,2,2.25,12,17,7,10,24,42,102,5,58,60,112,60,2.13,0.88
2024,Slovakia,10,7,1,2,2.2,4,17,8,9,25,53,113,5,73,55,105,48,1.7,0.8
2024,France,8,7,1,0,2.75,3,29,3,26,32,25,237,6,45,63,135,74,3.63,0.38
2024,Croatia,8,5,1,2,2,22,13,4,9,17,55,180,5,47,67,120,69,1.63,0.5
2024,Malta,8,0,0,8,0,49,2,20,-18,22,360,36,0,15,36,38,17,0.25,2.5
2024,Denmark,10,7,1,2,2.2,2,19,10,9,29,47,90,3,82,70,130,65,1.9,1
2024,Turkey,8,5,2,1,2.13,18,14,7,7,21,51,102,3,42,60,107,53,1.75,0.88
2024,Bosnia and Herzegovina,11,3,0,8,0.82,37,10,22,-12,32,99,45,2,49,51,101,52,0.91,2
2024,Lithuania,8,1,3,4,0.75,43,8,14,-6,22,90,51,1,20,42,61,30,1,1.75
2024,Scotland,8,5,2,1,2.13,17,17,8,9,25,42,90,4,35,47,68,35,2.13,1
2024,Faroe Islands,8,0,2,6,0.25,47,2,13,-11,15,360,55,1,23,41,35,10,0.25,1.63
2024,Kazakhstan,11,6,0,5,1.64,15,16,17,-1,33,62,58,3,45,44,98,54,1.45,1.55
