season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Seychelles,2,0,0,2,0,52,0,10,-10,10,0,18,0,0,50,3,0,0,5
2022,Swaziland,2,0,1,1,0.5,46,1,2,-1,3,180,90,1,0,0,0,0,0.5,1
2022,Angola,8,3,2,3,1.38,19,9,9,0,18,80,80,1,38,54,65,28,1.13,1.13
2022,Lesotho,2,0,2,0,1,44,1,1,0,2,180,180,1,3,50,15,5,0.5,0.5
2022,Botswana,2,0,1,1,0.5,48,0,1,-1,1,0,180,1,3,48,7,6,0,0.5
2022,Comoros,2,0,1,1,0.5,49,1,3,-2,4,180,60,0,7,49,3,0,0.5,1.5
2022,São Tomé e Príncipe,2,0,0,2,0,50,1,3,-2,4,180,60,0,0,0,0,0,0.5,1.5
2022,Tanzania,8,2,4,2,1.25,21,8,10,-2,18,90,72,1,40,53,54,22,1,1.25
2022,Togo,8,3,3,2,1.5,16,8,7,1,15,90,102,2,31,49,73,32,1,0.88
2022,Mauritius,2,0,0,2,0,54,0,3,-3,3,0,60,0,0,50,0,0,0,1.5
2022,Namibia,8,3,2,3,1.38,18,9,11,-2,20,80,65,2,21,45,67,19,1.13,1.38
2022,Sierra Leone,2,1,0,1,1.5,41,2,3,-1,5,90,60,1,0,0,0,0,1,1.5
2022,Malawi,8,2,1,5,0.88,27,3,12,-9,15,237,60,3,24,44,55,18,0.38,1.5
2022,Equatorial Guinea,8,4,3,1,1.88,10,8,6,2,14,90,120,4,17,46,61,25,1,0.75
2022,Zimbabwe,8,1,2,5,0.63,35,5,9,-4,14,143,80,1,27,46,51,15,0.63,1.13
2022,Gambia,2,0,0,2,0,51,1,3,-2,4,180,60,0,6,43,11,3,0.5,1.5
2022,Sudan,8,1,4,3,0.88,24,8,13,-5,21,90,55,2,15,46,41,19,1,1.63
2022,Chad,2,0,1,1,0.5,45,1,3,-2,4,180,60,1,0,0,0,0,0.5,1.5
2022,Liberia,8,2,0,6,0.75,34,7,11,-4,18,102,65,0,23,47,48,24,0.88,1.38
2022,Djibouti,8,1,1,6,0.5,37,6,30,-24,36,120,24,1,14,40,31,14,0.75,3.75
2022,Guinea-Bissau,8,3,3,2,1.5,15,8,12,-4,20,90,60,3,14,41,32,14,1,1.5
2022,Eritrea,2,0,0,2,0,53,1,4,-3,5,180,45,0,0,0,0,0,0.5,2
2022,Ethiopia,8,1,4,3,0.88,28,5,8,-3,13,143,90,2,28,57,78,27,0.63,1
2022,Burundi,2,0,2,0,1,42,2,2,0,4,90,90,0,11,50,20,6,1,1
