season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Japan,18,15,1,2,2.56,1,58,6,52,64,28,273,12,120,63,343,163,3.22,0.33
2022,Jordan,8,4,2,2,1.75,17,13,3,10,16,55,237,5,58,55,89,45,1.63,0.38
2022,India,8,1,4,3,0.88,28,6,7,-1,13,120,102,2,43,52,66,26,0.75,0.88
2022,Australia,19,13,3,3,2.21,4,45,12,33,57,38,143,10,108,60,281,133,2.37,0.63
2022,Bangladesh,10,1,3,6,0.6,33,4,19,-15,23,225,47,2,33,34,54,28,0.4,1.9
2022,Bahrain,8,4,3,1,1.88,15,15,4,11,19,48,180,6,36,53,107,47,1.88,0.5
2022,China,18,7,4,7,1.39,10,39,22,17,61,41,74,6,104,47,230,110,2.17,1.22
2022,Taiwan,8,0,0,8,0,46,4,34,-30,38,180,21,0,22,38,41,20,0.5,4.25
2022,Afghanistan,8,1,3,4,0.75,31,5,15,-10,20,143,48,1,27,47,55,25,0.63,1.88
2022,Saudi Arabia,18,13,4,1,2.39,3,34,10,24,44,48,161,12,84,63,229,97,1.89,0.56
2022,Qatar,8,7,1,0,2.75,11,18,1,17,19,40,692,7,68,64,178,67,2.25,0.13
2022,Syria,18,8,3,7,1.5,8,31,23,8,54,52,70,5,76,46,178,73,1.72,1.28
2022,Tajikistan,8,4,1,3,1.63,19,14,12,2,26,51,60,4,29,49,88,42,1.75,1.5
2022,Macau,2,1,0,1,1.5,40,1,3,-2,4,180,60,1,1,46,9,5,0.5,1.5
2022,Pakistan,2,0,0,2,0,45,1,4,-3,5,180,45,0,11,45,33,15,0.5,2
2022,Palestine,8,3,1,4,1.25,21,10,10,0,20,72,72,4,39,42,103,44,1.25,1.25
2022,Oman,18,10,2,6,1.78,6,27,16,11,43,60,101,6,102,51,203,94,1.5,0.89
2022,Sri Lanka,8,1,0,7,0.38,39,5,24,-19,29,143,30,1,20,34,41,18,0.63,3
2022,North Korea,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Maldives,8,2,1,5,0.88,26,7,20,-13,27,102,36,1,27,46,54,26,0.88,2.5
2022,Mongolia,10,3,0,7,0.9,25,6,29,-23,35,150,31,3,36,40,65,26,0.6,2.9
2022,Lebanon,16,4,4,8,1,14,16,21,-5,37,90,69,4,64,43,152,66,1,1.31
2022,Malaysia,10,6,0,4,1.8,13,22,14,8,36,41,64,2,58,49,112,54,2.2,1.4
2022,Bhutan,2,1,0,1,1.5,36,1,5,-4,6,180,36,1,7,50,17,4,0.5,2.5
2022,Turkmenistan,6,3,0,3,1.5,23,8,11,-3,19,68,49,2,12,42,45,23,1.33,1.83
2022,Brunei Darussalam,2,1,0,1,1.5,38,2,3,-1,5,90,60,0,1,46,8,2,1,1.5
2022,Guam,10,1,0,9,0.3,37,7,33,-26,40,129,27,1,17,46,31,13,0.7,3.3
2022,Iraq,18,6,8,4,1.44,9,20,16,4,36,81,101,7,93,50,259,82,1.11,0.89
2022,Iran,18,14,1,3,2.39,2,49,8,41,57,33,205,12,103,57,260,116,2.72,0.44
2022,Philippines,8,3,2,3,1.38,20,12,11,1,23,60,65,2,24,50,62,26,1.5,1.38
2022,Cambodia,10,2,1,7,0.7,27,6,45,-39,51,150,20,1,27,50,72,34,0.6,4.5
2022,Yemen,8,1,2,5,0.63,35,6,18,-12,24,120,40,1,22,37,72,37,0.75,2.25
2022,UAE,19,9,3,7,1.58,7,31,16,15,47,55,107,7,58,55,184,91,1.63,0.84
2022,Vietnam,18,6,3,9,1.17,12,21,24,-3,45,77,68,5,71,42,157,69,1.17,1.33
2022,Thailand,8,2,3,3,1.13,24,9,9,0,18,80,80,3,53,56,117,42,1.13,1.13
2022,Singapore,8,2,1,5,0.88,29,7,22,-15,29,102,33,0,22,45,60,31,0.88,2.75
2022,Uzbekistan,8,5,0,3,1.88,16,18,9,9,27,40,80,4,45,59,115,64,2.25,1.13
2022,Laos,2,0,1,1,0.5,41,0,1,-1,1,0,180,1,15,50,19,8,0,0.5
2022,Timor-Leste,2,0,0,2,0,43,2,12,-10,14,90,15,0,13,55,19,12,1,6
2022,Hong Kong,8,1,2,5,0.63,34,4,13,-9,17,180,55,2,18,36,42,17,0.5,1.63
2022,South Korea,16,12,3,1,2.44,5,35,4,31,39,41,360,12,117,70,246,100,2.19,0.25
2022,Kuwait,8,4,2,2,1.75,18,19,7,12,26,38,102,5,40,55,109,49,2.38,0.88
2022,Kyrgyzstan,8,3,1,4,1.25,22,19,12,7,31,38,60,1,51,50,102,48,2.38,1.5
2022,Myanmar,8,2,0,6,0.75,30,6,35,-29,41,120,21,1,25,46,89,37,0.75,4.38
2022,Nepal,8,2,0,6,0.75,32,4,22,-18,26,180,33,2,8,34,45,25,0.5,2.75
2022,Indonesia,8,0,1,7,0.13,42,5,27,-22,32,143,27,0,27,41,52,26,0.63,3.38
