season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Puerto Rico,4,2,1,1,1.75,15,10,2,8,12,36,180,2,4,41,13,6,2.5,0.5
2022,Canada,20,14,4,2,2.3,1,54,8,46,62,33,225,12,141,50,272,133,2.7,0.4
2022,Haiti,5,3,0,2,1.8,10,13,4,9,17,35,113,3,40,53,76,38,2.6,0.8
2022,Curaçao,6,3,2,1,1.83,8,16,3,13,19,34,180,4,24,55,73,36,2.67,0.5
2022,Turks and Caicos Islands,3,0,0,3,0,32,0,22,-22,22,0,12,0,0,50,2,2,0,7.33
2022,Barbados,4,1,2,1,1.25,20,3,3,0,6,120,120,1,18,49,23,13,0.75,0.75
2022,Dominica,4,1,1,2,1,21,5,4,1,9,72,90,1,1,43,10,5,1.25,1
2022,Dominican Republic,4,2,1,1,1.75,17,8,4,4,12,45,90,2,19,48,35,19,2,1
2022,Cuba,4,2,0,2,1.5,19,7,3,4,10,51,120,2,18,53,42,18,1.75,0.75
2022,Antigua and Barbuda,4,2,1,1,1.75,16,6,5,1,11,60,72,2,4,33,4,2,1.5,1.25
2022,Trinidad and Tobago,4,2,2,0,2,13,6,1,5,7,60,360,3,17,46,50,20,1.5,0.25
2022,Bermuda,4,1,1,2,1,22,7,12,-5,19,51,30,1,0,50,4,2,1.75,3
2022,Panama,20,11,4,5,1.85,2,38,21,17,59,47,86,8,115,56,243,108,1.9,1.05
2022,St. Kitts and Nevis,6,3,0,3,1.5,12,8,8,0,16,68,68,3,9,42,21,9,1.33,1.33
2022,Nicaragua,3,2,0,1,2,18,10,1,9,11,27,273,2,19,54,56,24,3.33,0.33
2022,Guyana,4,1,0,3,0.75,24,4,8,-4,12,90,45,1,5,62,6,2,1,2
2022,Grenada,4,1,0,3,0.75,25,2,5,-3,7,180,72,1,6,44,24,6,0.5,1.25
2022,St. Vincent and the Grenadines,4,1,0,3,0.75,26,3,16,-13,19,120,23,1,5,39,9,4,0.75,4
2022,St. Lucia,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,El Salvador,20,7,5,8,1.3,4,27,19,8,46,67,95,9,102,53,218,88,1.35,0.95
2022,Guatemala,4,3,1,0,2.5,9,14,0,14,14,26,0,4,17,55,54,28,3.5,0
2022,Suriname,4,3,0,1,2.25,11,15,4,11,19,24,90,3,22,26,25,15,3.75,1
2022,Belize,3,1,0,2,1,27,5,5,0,10,54,54,1,5,36,10,2,1.67,1.67
2022,British Virgin Islands,4,0,0,4,0,33,0,19,-19,19,0,19,0,0,39,4,0,0,4.75
2022,Bahamas,4,0,1,3,0.25,29,0,15,-15,15,0,24,1,1,50,4,3,0,3.75
2022,Anguilla,4,0,0,4,0,34,0,23,-23,23,0,16,0,3,39,4,3,0,5.75
2022,Cayman Islands,4,0,1,3,0.25,30,2,18,-16,20,180,20,0,0,50,0,0,0.5,4.5
2022,Montserrat,4,2,2,0,2,14,9,4,5,13,40,90,1,9,52,26,9,2.25,1
2022,US Virgin Islands,4,0,0,4,0,35,0,15,-15,15,0,24,0,1,50,3,2,0,3.75
2022,Aruba,4,1,0,3,0.75,28,3,19,-16,22,120,19,0,0,71,4,0,0.75,4.75
2022,USA,14,7,4,3,1.79,6,21,10,11,31,60,127,6,78,57,172,75,1.5,0.71
2022,Honduras,14,0,4,10,0.29,23,7,26,-19,33,180,48,2,59,47,175,67,0.5,1.86
2022,Mexico,14,8,4,2,2,3,17,8,9,25,74,158,8,84,61,219,82,1.21,0.57
2022,Costa Rica,14,7,4,3,1.79,5,13,8,5,21,97,158,7,58,40,110,56,0.93,0.57
2022,Jamaica,14,2,5,7,0.79,7,12,22,-10,34,105,57,2,41,40,116,49,0.86,1.57
