season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Finland,8,3,2,3,1.38,32,10,10,0,20,72,72,2,31,47,84,31,1.25,1.25
2022,Iceland,10,2,3,5,0.9,36,12,18,-6,30,75,50,2,56,48,124,48,1.2,1.8
2022,Gibraltar,10,0,0,10,0,54,4,43,-39,47,225,21,0,9,26,36,14,0.4,4.3
2022,Belarus,8,1,0,7,0.38,48,7,24,-17,31,102,30,0,18,38,58,19,0.88,3
2022,Czech Republic,9,4,2,3,1.56,29,14,10,4,24,58,81,3,56,55,148,57,1.56,1.11
2022,Montenegro,10,3,3,4,1.2,30,14,15,-1,29,64,60,2,58,48,160,56,1.4,1.5
2022,Switzerland,8,5,3,0,2.25,16,15,2,13,17,48,360,6,70,63,135,56,1.88,0.25
2022,Serbia,8,6,2,0,2.5,14,18,9,9,27,40,80,1,59,55,133,61,2.25,1.13
2022,Andorra,10,2,0,8,0.6,42,8,24,-16,32,113,38,2,20,27,65,33,0.8,2.4
2022,Austria,11,5,1,5,1.45,23,20,19,1,39,49,52,2,51,61,176,71,1.82,1.73
2022,San Marino,10,0,0,10,0,55,1,46,-45,47,900,20,0,17,25,43,15,0.1,4.6
2022,FYR Macedonia,12,6,3,3,1.75,10,24,13,11,37,45,83,6,43,52,168,76,2,1.08
2022,Georgia,8,2,1,5,0.88,41,6,12,-6,18,120,60,1,30,41,71,33,0.75,1.5
2022,Spain,8,6,1,1,2.38,15,15,5,10,20,48,143,4,45,76,110,46,1.88,0.63
2022,Luxembourg,8,3,0,5,1.13,37,8,18,-10,26,90,40,1,35,48,84,29,1,2.25
2022,Portugal,10,7,2,1,2.3,4,22,7,15,29,41,129,5,65,59,193,84,2.2,0.7
2022,Norway,10,5,3,2,1.8,18,15,8,7,23,60,113,5,68,58,177,59,1.5,0.8
2022,Romania,10,5,2,3,1.7,21,13,8,5,21,69,113,6,68,52,172,74,1.3,0.8
2022,Northern Ireland,8,2,3,3,1.13,34,6,7,-1,13,120,102,4,39,44,78,36,0.75,0.88
2022,Sweden,10,6,0,4,1.8,19,13,8,5,21,69,113,5,63,48,136,61,1.3,0.8
2022,Ukraine,10,3,6,1,1.5,26,14,10,4,24,64,90,1,38,55,171,65,1.4,1
2022,Moldova,10,0,1,9,0.1,51,5,30,-25,35,180,30,0,23,37,74,34,0.5,3
2022,Latvia,10,2,3,5,0.9,38,11,14,-3,25,82,64,2,36,37,96,37,1.1,1.4
2022,Liechtenstein,10,0,1,9,0.1,53,2,34,-32,36,450,26,0,9,25,30,13,0.2,3.4
2022,Poland,11,7,2,2,2.09,8,32,11,21,43,31,90,4,75,61,161,77,2.91,1
2022,Slovenia,10,4,2,4,1.4,27,13,12,1,25,69,75,3,39,50,119,49,1.3,1.2
2022,Germany,10,9,0,1,2.7,1,36,4,32,40,25,225,7,72,76,231,102,3.6,0.4
2022,England,10,8,2,0,2.6,3,39,3,36,42,23,300,7,56,73,162,80,3.9,0.3
2022,Republic of Ireland,8,2,3,3,1.13,35,11,8,3,19,65,90,3,37,48,101,41,1.38,1
2022,Greece,8,2,4,2,1.25,33,8,8,0,16,90,90,1,32,47,86,37,1,1
2022,Armenia,10,3,3,4,1.2,31,9,20,-11,29,100,45,3,43,45,132,49,0.9,2
2022,Hungary,10,5,2,3,1.7,22,19,13,6,32,47,69,2,50,58,122,54,1.9,1.3
2022,Cyprus,10,1,2,7,0.5,44,4,21,-17,25,225,43,2,26,37,92,32,0.4,2.1
2022,Israel,10,5,1,4,1.6,24,23,21,2,44,39,43,1,33,51,117,56,2.3,2.1
2022,Italy,9,4,4,1,1.78,25,13,3,10,16,63,273,6,65,67,182,66,1.44,0.33
2022,Albania,10,6,0,4,1.8,20,12,12,0,24,75,75,6,52,54,142,47,1.2,1.2
2022,Belgium,8,6,2,0,2.5,13,25,6,19,31,29,120,3,46,70,129,65,3.13,0.75
2022,Bulgaria,8,2,2,4,1,39,6,14,-8,20,120,51,2,24,39,69,26,0.75,1.75
2022,Kosovo,8,1,2,5,0.63,45,5,15,-10,20,143,48,1,23,41,78,24,0.63,1.88
2022,Estonia,8,1,1,6,0.5,46,9,21,-12,30,80,34,2,31,35,76,31,1.13,2.63
